id,order_id,kind,amount,currency,status,provider_ref,created_at,updated_at
pay-1,rental-1,AUTHORIZE,300,RUB,SUCCEEDED,auth-1,2024-12-01 08:10:00,2024-12-01 08:10:00
pay-2,rental-1,CAPTURE,180,RUB,SUCCEEDED,cap-1,2024-12-01 10:15:00,2024-12-01 10:15:00
pay-3,rental-2,AUTHORIZE,300,RUB,SUCCEEDED,auth-2,2024-12-01 10:20:00,2024-12-01 10:20:00
pay-4,rental-2,CAPTURE,200,RUB,SUCCEEDED,cap-2,2024-12-01 12:05:00,2024-12-01 12:05:00
pay-5,rental-3,AUTHORIZE,300,RUB,SUCCEEDED,auth-3,2024-12-02 09:50:00,2024-12-02 09:50:00
pay-6,rental-3,CAPTURE,120,RUB,SUCCEEDED,cap-3,2024-12-02 10:55:00,2024-12-02 10:55:00
pay-7,rental-4,AUTHORIZE,350,EUR,SUCCEEDED,auth-4,2024-12-02 13:15:00,2024-12-02 13:15:00
pay-8,rental-4,CAPTURE,150,EUR,SUCCEEDED,cap-4,2024-12-02 15:35:00,2024-12-02 15:35:00
pay-9,rental-5,AUTHORIZE,300,RUB,SUCCEEDED,auth-5,2024-12-03 09:05:00,2024-12-03 09:05:00
pay-10,rental-5,CAPTURE,110,RUB,FAILED,cap-5,2024-12-03 10:41:00,2024-12-03 10:41:00
pay-11,rental-5,CAPTURE,110,RUB,SUCCEEDED,cap-5-retry,2024-12-03 10:45:00,2024-12-03 10:45:00
pay-12,rental-6,AUTHORIZE,350,EUR,PENDING,auth-6,2024-12-03 11:05:00,2024-12-03 11:05:00
